title~views~uptime_y~uptime_m~uptime_d~link
As=C3=AD es el PRIMER OXXO del mundo | =C2=BFC=C3=B3mo fue tan exitoso? =F0=9F=9B=92~133,390~0~1~29~https://www.youtube.com/watch?v=3DWa7zKL2abFc
I EXPLOITED A CAR IN THE DESERT =F0=9F=92=A5=F0=9F=9A=97 | Las Vegas =F0=9F=8E=B0~3,530,529~2~25~759~https://www.youtube.com/watch?v=3D3HKhWmkdmUc
These people keep crocodiles as pets =F0=9F=90=8A | NUBIA =F0=9F=87=AA=F0=9F=87=AC~2,603,374~2~25~759~https://www.youtube.com/watch?v=3D_wShcx87z3c
THE CITY OF GARBAGE: lives amidst the garbage | Egypt =F0=9F=97=91=F0=9F=87=AA=F0=9F=87=AC~9,309,313~2~25~759~https://www.youtube.com/watch?v=3DxD0tpBczBqs
THE CITY OF THE DEAD: Lives inside tombs : Cairo =F0=9F=87=AA=F0=9F=87=AC~7,033,419~2~25~759~https://www.youtube.com/watch?v=3Dc3gNrwjQt9g
What is it like to sleep in a SPACE BUBBLE in the desert | Jordan =F0=9F=87=AF=F0=9F=87=B4=F0=9F=90=AA~4,405,824~2~25~759~https://www.youtube.com/watch?v=3DwNmtYz-zRLI
PETRA: The city that was carved in MOUNTAINS =F0=9F=98=B1 | My seventh wonder =F0=9F=87=AF=F0=9F=87=B4~13,809,430~2~25~759~https://www.youtube.com/watch?v=3DzqvAwRVb4Dg
Tasting Arab street food in JORDAN =F0=9F=87=AF=F0=9F=87=B4=F0=9F=A7=86=F0=9F=8C=AF~7,193,027~2~25~759~https://www.youtube.com/watch?v=3D4xUidvnPulQ
I visited the ROYAL temple of HERCULES | Jordan =F0=9F=87=AF=F0=9F=87=B4~6,614,323~2~25~759~https://www.youtube.com/watch?v=3DJZCx2vzFKmc
Here was &quot;Eden&quot; created by God | Tree of Life: Bahrain =F0=9F=8C=B3=F0=9F=87=A7=F0=9F=87=AD~8,513,556~2~25~759~https://www.youtube.com/watch?v=3Dmdo1L01_Z1A
The billion-dollar country no one talks about: BAHRAIN =F0=9F=87=A7=F0=9F=87=AD=F0=9F=92=B0 | What's it like?~12,895,249~2~25~759~https://www.youtube.com/watch?v=3DWBHBAuQuVxs
The harsh reality of being transgender in Pakistan =F0=9F=8F=B3=EF=B8=8F=E2=80=8D=E2=9A=A7=EF=B8=8F=F0=9F=87=B5=F0=9F=87=B0~1,981,889~2~25~759~https://www.youtube.com/watch?v=3Dk9geILx-95M
The war zone that has become &quot;fun&quot; | Pakistan-India border =F0=9F=87=B5=F0=9F=87=B0 =F0=9F=87=AE=F0=9F=87=B3~1,773,504~2~25~759~https://www.youtube.com/watch?v=3DDDRZXxoiMKg
One day living RAMADAN: a month without food? Why do they do it? =E2=98=AA=EF=B8=8F~4,968,557~2~25~759~https://www.youtube.com/watch?v=3DLZNEyne-bq4
EXCENTRIC wealth amidst so much poverty | Palace of Kings in Pakistan =F0=9F=91=91=F0=9F=87=B5=F0=9F=87=B0~4,387,162~2~25~759~https://www.youtube.com/watch?v=3D8RA3EXLVh_4
Pakistan's AMAZING trucks | Why do they spend so much? =F0=9F=9A=8C=F0=9F=87=B5=F0=9F=87=B0~4,139,450~2~25~759~https://www.youtube.com/watch?v=3DqKDTnVuWO7U
I entered to a weapon factory in Pakistan~6,455,611~2~25~759~https://www.youtube.com/watch?v=3DrNF8E6zqGKc
Why do many people in Pakistan wear eye makeup | PESHAWAR =F0=9F=87=B5=F0=9F=87=B0=F0=9F=91=81~7,837,105~2~25~759~https://www.youtube.com/watch?v=3D2e7AKE5cwtc
The most painful religious tradition: Ashura | Knives and blows for Islam~5,319,432~2~25~759~https://www.youtube.com/watch?v=3DhMI-aq5O2eE
Tasting street food in PAKISTAN =F0=9F=87=B5=F0=9F=87=B0=F0=9F=90=93~8,829,774~2~25~759~https://www.youtube.com/watch?v=3DvM0HvESNRSI
Pakistan's street fights IN MUD =F0=9F=87=B5=F0=9F=87=B0=F0=9F=A4=BC=E2=80=8D=E2=99=82=EF=B8=8F~5,756,975~2~25~759~https://www.youtube.com/watch?v=3DmwHJq1pGLiY
I cut my hair with FIRE in Pakistan =F0=9F=94=A5=F0=9F=92=87=F0=9F=8F=BD=E2=80=8D=E2=99=82=EF=B8=8F~10,399,504~2~25~759~https://www.youtube.com/watch?v=3DbiARxplcxKE
Pakistan's STREET Dentists and Doctors =F0=9F=87=B5=F0=9F=87=B0=F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=E2=9A=95=EF=B8=8F~19,652,179~2~25~759~https://www.youtube.com/watch?v=3D8h6xJcH-mX8
I flew 30 hours to get to PAKISTAN =F0=9F=9B=A9~6,007,227~2~25~759~https://www.youtube.com/watch?v=3Dy7rsMc__WmI
A ghost appeared to me in the cemetery...~4,519,263~2~25~759~https://www.youtube.com/watch?v=3D777e-Rzdu9c
MY TEQUILA vs ITS COMPETITION: which is better? | Big Bad vs Smirnoff vs Azul vs Rancho~3,044,168~2~25~759~https://www.youtube.com/watch?v=3DWrehpxwa01I
Lost in the largest labyrinth of the continent | El Salvador #5~3,218,015~2~25~759~https://www.youtube.com/watch?v=3D2u0pALb1DlA
A mural of me is a tourist attraction =F0=9F=98=B1 | El Salvador #4~3,813,894~2~25~759~https://www.youtube.com/watch?v=3DkPfO51f8Qhc
GRAN MALO: Tamarind flavored tequila | How is it made and why is it SO DELICIOUS? =F0=9F=A4=A4=F0=9F=A5=83~4,304,546~2~25~759~https://www.youtube.com/watch?v=3DgXD4jvoTSAM
Trying STREET FOOD in El Salvador =F0=9F=87=B8=F0=9F=87=BB=F0=9F=8C=BD~14,422,211~2~25~759~https://www.youtube.com/watch?v=3Du-O42mCpUkc
We climbed an ACTIVE VOLCANO Ft. Fernanfloo | El Salvador #2 =F0=9F=8C=8B=F0=9F=87=B8=F0=9F=87=BB~15,867,145~2~25~759~https://www.youtube.com/watch?v=3DsrZ85Kpc1cc
The city with 50 surfing beaches =F0=9F=8F=84=F0=9F=8F=BD=E2=80=8D=E2=99=82=EF=B8=8F=F0=9F=8C=8A | El Salvador #1~8,003,334~2~25~759~https://www.youtube.com/watch?v=3DIJhD77jq7Kk
The African technique for milking cows : Mundari Part 2 =F0=9F=87=B8=F0=9F=87=B8~9,883,793~2~25~759~https://www.youtube.com/watch?v=3DXQM0MZYUweI
The life of African nomadic cattle herders : Mundari: South Sudan =F0=9F=87=B8=F0=9F=87=B8~19,757,477~2~25~759~https://www.youtube.com/watch?v=3DQX4SIUwYOHE
The country with the HIGHEST people in the world =F0=9F=98=B1 | South Sudan =F0=9F=87=B8=F0=9F=87=B8~13,260,346~2~25~759~https://www.youtube.com/watch?v=3DDO_gN3slVlI
I traveled to the poorest country in the world: what's life like in South Sudan =F0=9F=87=B8=F0=9F=87=B8~17,403,046~2~25~759~https://www.youtube.com/watch?v=3Dywk4JiHqV8E
I already have ALL the information of my &quot;mystery thief&quot; =F0=9F=95=B5=F0=9F=8F=BB=E2=80=8D=E2=99=82=EF=B8=8F=F0=9F=A7=90=F0=9F=94=8D~7,031,518~2~25~759~https://www.youtube.com/watch?v=3DSmVVwp7nxwI
Visiting a supermarket in KENYA | What do African people buy? =F0=9F=87=B0=F0=9F=87=AA=F0=9F=9B=92~6,990,716~2~25~759~https://www.youtube.com/watch?v=3DxKMaj0ulNSg
Exploring Africa's largest piracy market : Gikomba =F0=9F=8F=B4=E2=80=8D=E2=98=A0=EF=B8=8F~6,119,731~2~25~759~https://www.youtube.com/watch?v=3DaUO32u25_RU
The famous giraffe hotel in Africa : Is it worth spending SO MUCH?~10,009,264~2~25~759~https://www.youtube.com/watch?v=3DenBv6l7btqI
Tasting STREET FOOD in Kenya - Africa =F0=9F=87=B0=F0=9F=87=AA=F0=9F=90=90=F0=9F=8D=BD~11,543,690~2~25~759~https://www.youtube.com/watch?v=3D_Zt13KNHltg
The hard life inside Africa's largest slum | Kibera, Kenya =F0=9F=87=B0=F0=9F=87=AA~17,313,977~2~25~759~https://www.youtube.com/watch?v=3D3bEpfzz_m94
This country is MUCH better than I thought it would be : Nairobi, Kenya =F0=9F=87=B0=F0=9F=87=AA~7,074,556~2~25~759~https://www.youtube.com/watch?v=3DnlD7trTFaCw
I turn an earth globe and travel wherever my finger falls =F0=9F=8C=8D=E2=9C=88=EF=B8=8F~13,998,333~2~25~759~https://www.youtube.com/watch?v=3DV8E1mdL5o2g
I was robbed by the &quot;nicest&quot; thief (left evidence)~6,031,941~2~25~759~https://www.youtube.com/watch?v=3DP9F-Cw5uCz0
I never thought I would need FIVE cameras | Samsung S21 Ultra Review =F0=9F=98=B1~3,226,787~2~25~759~https://www.youtube.com/watch?v=3DKiq6XQMdVhs
What is it like to go to school while in prison? | Studying in jail~2,313,963~2~25~759~https://www.youtube.com/watch?v=3DE7wvuN3bZ80
Where does the water we consume come from? Tour of the water system =F0=9F=92=A7~6,051,764~2~25~759~https://www.youtube.com/watch?v=3DFuP2nZBrXV4
How to cut fruit with your iPhone =F0=9F=98=B1 | TikTok Hacks #8~5,564,133~2~25~759~https://www.youtube.com/watch?v=3DoqeTjwfizPQ
A day working at the NESCAF=C3=89 factory : How is soluble coffee made? =E2=98=95~7,289,316~2~25~759~https://www.youtube.com/watch?v=3D8TkBi79gLlg
A FOLLOWER MADE ME A STATUE =F0=9F=98=B1 | Sculpture by Luisito Comunica~2,532,800~2~25~759~https://www.youtube.com/watch?v=3D9WESgkHIc50
I bought a Smart refrigerator - is it worth spending THAT much? =F0=9F=98=B1=F0=9F=A4=96~8,346,167~2~25~759~https://www.youtube.com/watch?v=3D7YNZaQm0Azs
This is a cemetery for ABANDONED AIRPLANES~3,722,105~2~25~759~https://www.youtube.com/watch?v=3D8dhPuDoGTx8
This stunning phone comes FROM THE FUTURE =F0=9F=98=B1 | Xiaomi Mi 10 Ultra~8,538,346~2~25~759~https://www.youtube.com/watch?v=3DnzOgoLiSHrE
This is possibly the BEST store in the whole world =F0=9F=98=B1.~2,280,765~2~25~759~https://www.youtube.com/watch?v=3DKJ1UT2WXzVU
I got trapped in a cemetery!~2,842,020~2~25~759~https://www.youtube.com/watch?v=3D8XT9kp2QcMw
They made fun of me for having it small~4,877,209~2~25~759~https://www.youtube.com/watch?v=3D0DONdXO5CGg
I have my OWN RESTAURANT =F0=9F=98=B1 | The BEST Japanese food in Mexico =F0=9F=8D=A3.~5,868,236~2~25~759~https://www.youtube.com/watch?v=3Dnx93OOvl1ag
Nintendo's FUTURISTIC new toys =F0=9F=98=B1 | Mario Kart: Home Circuit =F0=9F=8F=8E~5,130,857~2~25~759~https://www.youtube.com/watch?v=3Des_8qzrJc74
Hice enojar a usuarios de ANDROID con esto =F0=9F=98=B1=F0=9F=93=B1~1,879,564~2~25~759~https://www.youtube.com/watch?v=3Dc6m_Hh2h8VA
Uncensor private photos with this trick | TikTok Hacks #7~3,821,362~2~25~759~https://www.youtube.com/watch?v=3DpOlEREnxYUQ
The $250 phone with a movie camera | Xiaomi Note 9s =F0=9F=8E=A5=F0=9F=93=B1~6,616,180~2~25~759~https://www.youtube.com/watch?v=3DbmBc5Ya0_gk
This is what pandemic public transportation looks like | Video for people of the future =F0=9F=9A=87=F0=9F=98=B7.~1,353,036~2~25~759~https://www.youtube.com/watch?v=3D62AJNkCAFzM
I switched to ANDROID after years of using iPhone for this reason =F0=9F=93=B1.~3,629,199~2~25~759~https://www.youtube.com/watch?v=3DpN0a2Wh49Zs
Everyone makes fun of my little butt =F0=9F=98=A2~1,733,875~2~25~759~https://www.youtube.com/watch?v=3D3WkassCnBfw
We tried to make a GIANT M&amp;M's COOKIE =F0=9F=8D=AA=F0=9F=8D=AB~2,749,415~2~25~759~https://www.youtube.com/watch?v=3DPYMqcjm-INE
Testing BETTERWARE and AVON catalog accessories | Trashy or functional? =F0=9F=93=BA~2,883,456~2~25~759~https://www.youtube.com/watch?v=3DJ_2GU3AARyw
Testing the technology of the new PS5 controller: does it change much? =F0=9F=8E=AE~1,659,123~2~25~759~https://www.youtube.com/watch?v=3Dow7IezZo5nQ
I bought a NEW CAR! And it's better than a Lamborghini =F0=9F=9A=99.~3,293,797~2~25~759~https://www.youtube.com/watch?v=3D8nD2HuC7BkE
Ary went wild ALV =E2=9D=A4=EF=B8=8F=F0=9F=A6=92~2,345,779~2~25~759~https://www.youtube.com/watch?v=3D9Pkot-iTj58
How does someone in a wheelchair drive a car? =F0=9F=A6=BD =F0=9F=9A=99~1,687,516~2~25~759~https://www.youtube.com/watch?v=3Dbhdo66El0-U
I got the new XBOX SERIES X: Is it BETTER than PS5 | Unboxing =F0=9F=8E=AE~4,965,001~2~25~759~https://www.youtube.com/watch?v=3D6gFeGgXN3ZA
I bought the new PS5 : Is it worth spending SO MUCH ? Unboxing =F0=9F=8E=AE~11,114,953~2~25~759~https://www.youtube.com/watch?v=3DvUKB3eGSt5Q
Apple's BIG FAIL and its malevolent plan with iPhone =F0=9F=98=A1=F0=9F=93=B1~4,885,679~2~25~759~https://www.youtube.com/watch?v=3DWfaM5XzjsTc
I AM NOT the impostor | Among US for the first time =F0=9F=8E=AE~2,400,393~2~25~759~https://www.youtube.com/watch?v=3DqWwUjzR6xLM
This is what a PILLOFON operations center looks like | How does 5G internet work? =F0=9F=93=B1=F0=9F=93=A1~3,071,377~2~25~759~https://www.youtube.com/watch?v=3DAu9Cs0esdAU
Samsung's new &quot;invisible&quot; earbuds: Galaxy Buds+ | Are they worth it? =F0=9F=8E=A7~4,224,440~2~25~759~https://www.youtube.com/watch?v=3D3OLapZH_hdA
I slept in the famous Africa lookout hotel! Is it worth it? =F0=9F=98=B1=F0=9F=A6=92~2,398,707~2~25~759~https://www.youtube.com/watch?v=3DYM6nSYWSVgg
More YouTubers are taking out their telephony! =F0=9F=98=A0=F0=9F=98=A1=F0=9F=98=A4 (it's clickbait, how cool for them =E2=9D=A4=EF=B8=8F)~2,687,802~2~25~759~https://www.youtube.com/watch?v=3Du-ALpf66Hmw
A day working at Mercado Libre | How do your packages arrive in 24 hours?~7,877,537~2~25~759~https://www.youtube.com/watch?v=3DtrMEQdEvIw4
Unlock your phone with a match? | TikTok Hacks #6~5,191,659~2~25~759~https://www.youtube.com/watch?v=3DqD5eYvBuHt8
I was swindled by some Arabs for a LOT of money =F0=9F=98=94.~4,047,338~2~25~759~https://www.youtube.com/watch?v=3DpOqCa1uL4ik
I bought the iPhone 12: Is it really the same as the 11?~8,841,628~2~25~759~https://www.youtube.com/watch?v=3Dba0cod1F8OQ
The tallest and most expensive building in the world | Burj Khalifa~5,516,304~2~25~759~https://www.youtube.com/watch?v=3DobTN82o7yOg
I feel dead inside :(~1,864,511~2~25~759~https://www.youtube.com/watch?v=3DgJjTxm1gP4I
This tribe has very strange &quot;pets&quot;... | Lacandon Mayas~4,331,856~2~25~759~https://www.youtube.com/watch?v=3D2uryGnzvdFs
The indigenous people who lied to stay alive | San Juan Chamula =F0=9F=92=80~2,551,828~2~25~759~https://www.youtube.com/watch?v=3Dk6GpoamsGVM
They say that the water of this waterfall makes you younger.... | Sumidero Canyon =F0=9F=8C=8A~5,003,909~2~25~759~https://www.youtube.com/watch?v=3DEY94xvrixMY
The Zapatistas: The society that lives without government | EZLN~2,901,113~2~25~759~https://www.youtube.com/watch?v=3DtTazPJG3aDM
Exploring the Lacandon Jungle: Lands of Mayas and jaguars =F0=9F=90=86.~5,788,916~2~25~759~https://www.youtube.com/watch?v=3DlzDc9gR7CZo
I crashed a Lamborghini and had to pay a lot of money =F0=9F=98=A2.~13,525,235~2~25~759~https://www.youtube.com/watch?v=3DRTdCcEo6dYA
I was given a defective Lamborghini and almost burned out its engine.... =F0=9F=94=A5~8,046,338~2~25~759~https://www.youtube.com/watch?v=3DLY7_wHSQmTk
Why does this car cost HALF A MILLION DOLLARS? | Lamborghini Aventador 2020 Review~5,564,032~2~25~759~https://www.youtube.com/watch?v=3DjS_2BaTQhs8
Dubai and its billion-dollar &quot;new normal&quot; =F0=9F=8F=99=F0=9F=87=A6=F0=9F=87=AA~5,867,901~2~25~759~https://www.youtube.com/watch?v=3DbBcmTHvACas
How COVID tests change in different countries | Traveling in 2020? =F0=9F=91=A8=F0=9F=8F=BB=E2=80=8D=E2=9A=95=EF=B8=8F=F0=9F=91=A9=F0=9F=8F=BB=E2=80=8D=F0=9F=94=AC~3,089,077~2~25~759~https://www.youtube.com/watch?v=3DsHnuWuGgyOA
My telephone company is CRASHING (with memes xD) | PILLOFON =F0=9F=93=9E~3,775,783~3~37~1124~https://www.youtube.com/watch?v=3DSWHBNKZc5TE
Would you sleep in this private villa for $1,000 a night? =F0=9F=8F=A0=F0=9F=8F=9D~3,534,824~3~37~1124~https://www.youtube.com/watch?v=3DHmzksiUFXJw
I have my OWN cell phone COMPANY =F0=9F=98=B1 | PILLOFON | How to sign up? =F0=9F=93=9E~7,496,027~3~37~1124~https://www.youtube.com/watch?v=3DJu0UP9QH0I0
The African tribe that lives by making weapons | Datoga Tribe - Tanzania~4,365,934~3~37~1124~https://www.youtube.com/watch?v=3DJoLZgfXALNc
Life in a Rural Muslim Community | African Islam~5,532,997~3~37~1124~https://www.youtube.com/watch?v=3D6yU1lX3cNMU
It is strictly FORBIDDEN to film in this city =F0=9F=9A=AB | Dar Es Salaam~3,818,850~3~37~1124~https://www.youtube.com/watch?v=3DBsRdvfNMXWY
In this prison, people were locked up just for being sick....~2,848,758~3~37~1124~https://www.youtube.com/watch?v=3Dbe54rjv8Ygg
On this small island they do not believe in the virus | Zanzibar, Tanzania~2,573,440~3~37~1124~https://www.youtube.com/watch?v=3Dm8FLuiIejJs
I traveled in a magic balloon over Africa =F0=9F=8E=88=F0=9F=A6=92 | TANZANIA #9~2,475,216~3~37~1124~https://www.youtube.com/watch?v=3Dmd4MwaqY56o
I MUST STOP EATING...~3,776,615~3~37~1124~https://www.youtube.com/watch?v=3Dp3g8o4MoY5o
It is very likely that this video will be censored... | TRIBE EXPLICIT VERSION~7,958,537~3~37~1124~https://www.youtube.com/watch?v=3DpFipb5IZOVM
I spent a day with a tribe of African hunters | How do they live? | Hadzabes - Tanzania~19,902,056~3~37~1124~https://www.youtube.com/watch?v=3DrHX7kSX7L0k
The coolest camping house on the planet =E2=9B=BA=EF=B8=8F | TANZANIA #7~3,055,953~3~37~1124~https://www.youtube.com/watch?v=3Du_zLeBSm9O0
Trying street food in TANZANIA =F0=9F=87=B9=F0=9F=87=BF=F0=9F=90=9F~15,983,825~3~37~1124~https://www.youtube.com/watch?v=3DYD6WLStjIfw
This site is a PARADISE : Tanzania #5: Safari in Africa =F0=9F=A6=92=F0=9F=90=86=F0=9F=90=98~4,961,023~3~37~1124~https://www.youtube.com/watch?v=3DzRCjoe4Ot4Q
Would you stay in this luxurious open-air hotel? TANZANIA #4~4,078,854~3~37~1124~https://www.youtube.com/watch?v=3DG6kKHgp4Wnc
The life of the Maasai tribe: Africa's largest tribe : Tanzania #3~7,493,536~3~37~1124~https://www.youtube.com/watch?v=3Dvu0g57MgDyk
African animal barter markets : Tanzania #2~6,801,828~3~37~1124~https://www.youtube.com/watch?v=3DNeL9ksrFTkA
This country is CRAZY | Tanzania #1: First Impressions~11,937,187~3~37~1124~https://www.youtube.com/watch?v=3DNbUammQBUyI
How to make a shoe from scratch | A day with a shoemaker =F0=9F=91=9F=F0=9F=91=9E~1,996,941~3~37~1124~https://www.youtube.com/watch?v=3D16gREifJyTk
The MOST AWESOME airport I've ever been to =F0=9F=98=B1 | Qatar.~4,779,237~3~37~1124~https://www.youtube.com/watch?v=3D83nBqm-_uew
I tried the luxurious private suite seat on an airplane | Qatar Airways First Class =E2=9C=88=EF=B8=8F=F0=9F=92=BA~10,152,438~3~37~1124~https://www.youtube.com/watch?v=3D_wAOjQNfYME
This is what a luxury VIP Starbucks looks like: Starbucks Reserve NY =E2=98=95=EF=B8=8F=F0=9F=92=B0~10,795,432~3~37~1124~https://www.youtube.com/watch?v=3D1sdPftn6C6M
I traveled hours to see the famous Joker stairs =F0=9F=A4=A1.~6,229,253~3~37~1124~https://www.youtube.com/watch?v=3DDuXshXcynLs
Apologies to the fan I stole from =F0=9F=98=94.~6,035,979~3~37~1124~https://www.youtube.com/watch?v=3DWs5dJtTfVl4
GUESS THE WINE | Very Cheap vs. Expensive | Do they taste different? =F0=9F=8D=B7~2,046,651~3~37~1124~https://www.youtube.com/watch?v=3DlmLFPXU7vss
A photo got me into trouble...~3,399,321~3~37~1124~https://www.youtube.com/watch?v=3D-FHzjoS8e0o
Real witches perform rituals on this bridge... | Puente del Fraile~7,388,978~3~37~1124~https://www.youtube.com/watch?v=3D23R2YLqHGf0
It's easy to fall in love in this town | San Miguel de Allende =E2=9B=AA=EF=B8=8F=E2=9D=A4=EF=B8=8F~2,859,529~3~37~1124~https://www.youtube.com/watch?v=3DzZ0GypF7sQ8
Exploring the REAL dungeon of an ancient prison | Scary Legends =F0=9F=91=BB~2,954,676~3~37~1124~https://www.youtube.com/watch?v=3DxSZmiFUjWhQ
I put Go Pro's new &quot;professional&quot; camera to the test | Is it worth it? =F0=9F=93=B7~2,802,263~3~37~1124~https://www.youtube.com/watch?v=3DFj8iZ6LygBg
IS THIS YOUR IDOL? =F0=9F=98=A1=F0=9F=98=A0=F0=9F=98=A4~2,052,890~3~37~1124~https://www.youtube.com/watch?v=3D4EobxHOoXRE
The FUNERAL of my AQUATIC DRAGONS =F0=9F=98=A2=F0=9F=90=89.~4,385,580~3~37~1124~https://www.youtube.com/watch?v=3DwEV4oeUhbxY
I WAS STEALED :(~4,482,275~3~37~1124~https://www.youtube.com/watch?v=3DKqsXjJ3gxcI
A day in the life of a street costumed person | How much do they earn? =F0=9F=A6=87=F0=9F=92=B0~2,905,425~3~37~1124~https://www.youtube.com/watch?v=3DcHoXhH57T6Y
I traveled hours to try the &quot;BEST&quot; PIZZA on the continent | Is it really that good? =F0=9F=8D=95~7,619,063~3~37~1124~https://www.youtube.com/watch?v=3DMjUso2Uz10s
I took her to see my favorite city =E2=9D=A4=EF=B8=8F | New York Vlog =F0=9F=97=BD~6,491,138~3~37~1124~https://www.youtube.com/watch?v=3DkFoBHbAimw8
I am a LITTLE man with a BIG heart~3,357,886~3~37~1124~https://www.youtube.com/watch?v=3D5Se_56w2MuY
I spent a day with an ANCESTRAL MEDICINE guru =F0=9F=8D=84~1,200,882~3~37~1124~https://www.youtube.com/watch?v=3D5vaO6amNly0
My first time flying after 6 MONTHS =E2=9C=88=EF=B8=8F~3,195,695~3~37~1124~https://www.youtube.com/watch?v=3DU1NGTZSEF24
The safari with the MOST ANIMALS in America | Africam Safari =F0=9F=A6=92=F0=9F=A6=93=F0=9F=90=98~3,866,253~3~37~1124~https://www.youtube.com/watch?v=3D9c351Ai3SWs
This haunted mansion is given as a gift to whoever dares to sleep here...~6,266,961~3~37~1124~https://www.youtube.com/watch?v=3DMJg0B8wKGKs
What people think about our relationship...~2,966,955~3~37~1124~https://www.youtube.com/watch?v=3DWMjF89A1fa8
I bought a combat robot for $1,000 | Is it worth it? =F0=9F=A4=96~5,513,307~3~37~1124~https://www.youtube.com/watch?v=3DI8ZONP9e2LI
I am TOO SHORT for my girl :(~6,359,967~3~37~1124~https://www.youtube.com/watch?v=3D6XE7yZa3iYE
Don't hate me for playing again =F0=9F=98=94 | FREE FIRE #2 =F0=9F=8E=AE~4,632,730~3~37~1124~https://www.youtube.com/watch?v=3D0IQrB5tbblM
How bad is the CHEAPEST hotel in all of Mexico?~7,999,998~3~37~1124~https://www.youtube.com/watch?v=3D_nIeXuOD-oE
THOSE BASTARDS LIED TO ME!~2,624,671~3~37~1124~https://www.youtube.com/watch?v=3DG5PcR6obK5s
My experience as a teacher of rebellious teenagers =F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=F0=9F=8F=AB~3,223,434~3~37~1124~https://www.youtube.com/watch?v=3DlF9HNCXK2Mc
Testing the transport &quot;OF THE FUTURE&quot; | Is it worth spending SO MUCH =F0=9F=9B=B9=F0=9F=A4=96.~3,896,466~3~37~1124~https://www.youtube.com/watch?v=3D22a6F9SvEKQ
I spent the night at a hotel supposedly haunted=F0=9F=91=BB~4,739,358~3~37~1124~https://www.youtube.com/watch?v=3DWIWKPIrtKEY
A football player criticized my hair =F0=9F=98=A5.~3,765,204~3~37~1124~https://www.youtube.com/watch?v=3DIDt_Tl62MVk
I went to visit the tomb of La Llorona...~12,871,039~3~37~1124~https://www.youtube.com/watch?v=3DUKNaEaNVB24
I was challenged to a COMBAT by a professional FIGHTER =F0=9F=A4=BA~2,594,352~3~37~1124~https://www.youtube.com/watch?v=3DNb_Rs0jAGc4
Impossible to leave SOBER from this city | Tequila, Mexico =F0=9F=8C=B5=F0=9F=87=B2=F0=9F=87=BD~4,946,212~3~37~1124~https://www.youtube.com/watch?v=3DkDzunuM2nHM
I put the &quot;FASTEST&quot; restaurant in the world to the test | Less than 13 seconds? =F0=9F=98=B1=F0=9F=8D=BD~18,337,919~3~37~1124~https://www.youtube.com/watch?v=3DNDhqUALYAuM
What is it like to sleep in a hotel in BARRILES de TEQUILA? | Hotel Barrica~6,588,286~3~37~1124~https://www.youtube.com/watch?v=3DEcczhkVTFEY
I have a lot to explain...~3,981,417~3~37~1124~https://www.youtube.com/watch?v=3DZQz3T-05P6c
I discovered a NEW type of AQUATIC DRAGONS =F0=9F=98=B1=F0=9F=90=89.~6,469,336~3~37~1124~https://www.youtube.com/watch?v=3DjSnJdpxQL4Q
This is the MOST EXPENSIVE meat in the world | Why does it cost SO MUCH?~11,521,412~3~37~1124~https://www.youtube.com/watch?v=3DtOz49e_6guc
I put all the MOSQUITO TRAPS to the test =F0=9F=A6=9F Did any of them catch anything?~5,870,006~3~37~1124~https://www.youtube.com/watch?v=3DkjGioBEz_ic
Luisillo's BOOK CLUB =F0=9F=93=9A~881,077~3~37~1124~https://www.youtube.com/watch?v=3DveQkUjUKRYM
An apologize to my best friend for changing him....~2,700,757~3~37~1124~https://www.youtube.com/watch?v=3Dl0uM0B1AQBM
Are there WORMS in your STRAWBERRIES? TikTok's experiment =F0=9F=90=9B=F0=9F=8D=93~8,073,861~3~37~1124~https://www.youtube.com/watch?v=3DnK0pnxohUwQ
Playing FREE FIRE for the first time in my life =F0=9F=94=AB =F0=9F=8E=AE~7,113,974~3~37~1124~https://www.youtube.com/watch?v=3DeonA-xz2wWQ
The &quot;MAGIC&quot; grain extractor : Does it work like in the commercials? =F0=9F=98=B1~5,617,244~3~37~1124~https://www.youtube.com/watch?v=3DxGo_L9tehc4
How to make authentic Japanese ramen? =F0=9F=8D=9C | Chef Luisillo =F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=F0=9F=8D=B3~5,679,910~3~37~1124~https://www.youtube.com/watch?v=3DyGL4ZAtt2Dk
DRAW MY LIFE: Luisito Comunica~5,719,260~3~37~1124~https://www.youtube.com/watch?v=3D-LfGh6bmSx0
What it's like to go to a restaurant in 2020 | The &quot;New Normal&quot; =F0=9F=8D=BD~5,149,219~3~37~1124~https://www.youtube.com/watch?v=3Dho1Gx6Kqlwk
My girlfriend's grandfather punched me =F0=9F=98=A2.~3,784,519~3~37~1124~https://www.youtube.com/watch?v=3DHjcuTrnrMf4
I have the Motorola phone that bends =F0=9F=98=B1 | Is the legend back? | Moto Razr 2020~5,670,533~3~37~1124~https://www.youtube.com/watch?v=3DfL5oud5Dgew
My water dragons 30 days later | Aqua Dragons =F0=9F=90=89~7,683,493~3~37~1154~https://www.youtube.com/watch?v=3DiEdSZDAyeHA
GUESS THE CHAMPAGNE | Cheap vs. Expensive | Is there a difference? =F0=9F=8D=BE=F0=9F=A5=82~3,920,318~3~37~1124~https://www.youtube.com/watch?v=3D1PgsbCiMRWo
