title~views~uptime_y~uptime_m~uptime_d~link
Nastya y colecci=C3=B3n de nuevas historias de Halloween. Halloween 2023~136,006~0~2~52~https://www.youtube.com/watch?v=3DUPHQ2leuqfM
Nastya y su ejemplo de buen comportamiento para los ni=C3=B1os.~193,846~0~2~55~https://www.youtube.com/watch?v=3DI2sB3aq8fS4
Nastya en un pa=C3=ADs de ensue=C3=B1o. Nuevas historias de Nastya y pap=C3=A1 en espa=C3=B1ol~316,087~0~2~58~https://www.youtube.com/watch?v=3D5in4t346bl8
Nastya y Evelyn se ayudan mutuamente como mejores amigas. Historias sobre la amistad en espa=C3=B1ol~291,273~0~2~61~https://www.youtube.com/watch?v=3D0zCiaIQX-oo
Nastya comienza su propio negocio y otras historias divertidas para ni=C3=B1os en una nueva colecci=C3=B3n~283,956~0~2~64~https://www.youtube.com/watch?v=3DtedDNMoS1nw
Nastya 24 Hours Baby Challenge y otras historias divertidas~520,044~0~2~64~https://www.youtube.com/watch?v=3D4SzSiLMhcns
Nastya aprende sobre los 5 sentidos y otras historias escolares para ni=C3=B1os.~525,031~0~2~64~https://www.youtube.com/watch?v=3DVyuw3j67bno
Nastya juega juegos divertidos con los ni=C3=B1os. Desaf=C3=ADo para ni=C3=B1os de Nastya~560,384~0~2~71~https://www.youtube.com/watch?v=3Do06ExpXm4NM
Nastya finge jugar en un sal=C3=B3n de belleza de juguetes~1,205,346~2~26~780~https://www.youtube.com/watch?v=3DMlqmsPtDGJc
Nastya intenta diferentes profesiones y no estudia en la escuela~28,692,466~2~26~780~https://www.youtube.com/watch?v=3DpP5amyLXjfE
Nastya est=C3=A1 estudiando las reglas de viaje en el aeropuerto.~11,255,796~2~26~780~https://www.youtube.com/watch?v=3DWd4CEqmmbK0
Nastya y actividades educativas con pap=C3=A1~9,002,213~2~26~780~https://www.youtube.com/watch?v=3DZedD8zZGWZI
Nastya hace regalos para amigos el D=C3=ADa de San Valent=C3=ADn~1,725,789~2~26~780~https://www.youtube.com/watch?v=3DkPWnWlQuLvY
Nastya celebra su fiesta de cumplea=C3=B1os n=C3=BAmero 7 con amigos y familiares~54,554,816~2~26~780~https://www.youtube.com/watch?v=3DgN2MoKE5tsI
Nastya y pap=C3=A1, copienme desaf=C3=ADo para ni=C3=B1os~15,017,008~2~26~780~https://www.youtube.com/watch?v=3D13_lf-ehxsE
Nastya y su nueva habitaci=C3=B3n, Cuento para dormir para ni=C3=B1os~4,721,726~2~26~780~https://www.youtube.com/watch?v=3DTjSwh6lYDTM
Nastya y pap=C3=A1 misterioso desaf=C3=ADo de caja en la casa~3,176,830~2~26~780~https://www.youtube.com/watch?v=3Dy3ULIE9jiLE
Nastya y su amiga hacen figuras de animales de verduras y frutas~9,195,491~2~26~780~https://www.youtube.com/watch?v=3DfOb4Ci2lshs
Nastya y pap=C3=A1 est=C3=A1n aprendiendo matem=C3=A1ticas~2,413,134~2~26~780~https://www.youtube.com/watch?v=3DUXoEtE9GNl4
Nastya y fiesta de t=C3=A9 para sus gatitos~14,202,826~2~26~780~https://www.youtube.com/watch?v=3D7FX_zAgyqJk
Nastya y sus amigos est=C3=A1n jugando un misterioso desaf=C3=ADo~3,362,918~2~26~780~https://www.youtube.com/watch?v=3D1c9C-Y28DcU
Nastya y Klava organizaron varios concursos para ni=C3=B1os~38,124,475~2~26~780~https://www.youtube.com/watch?v=3DnEnCEHxInPU
Nastya y una historia sobre c=C3=B3mo los ni=C3=B1os no deben comportarse~1,726,870~2~26~780~https://www.youtube.com/watch?v=3Dl4fOf1gYqyk
Nastya juega chistes de ni=C3=B1os con sus amigos~39,874,806~2~26~780~https://www.youtube.com/watch?v=3D8t_n4wXRsdQ
Nastya finge jugar con su padre en el hotel de los ni=C3=B1os~1,239,037~2~26~780~https://www.youtube.com/watch?v=3DUOia15bSB_Q
Nastya y pap=C3=A1 viaje familiar a la isla de los cerdos~17,395,404~2~26~780~https://www.youtube.com/watch?v=3D0apSWtFqTSY
Nastya finge jugar juguetes de maquillaje con princesas~17,137,135~2~26~780~https://www.youtube.com/watch?v=3Dwha5VxSNt_U
Nastya copia a pap=C3=A1 todo el d=C3=ADa, divertido desaf=C3=ADo de copia para los ni=C3=B1os~11,753,786~2~26~780~https://www.youtube.com/watch?v=3DWZYvhk5ahVw
Nastya finge jugar como pap=C3=A1 y pap=C3=A1 se comporta como Nastya~7,096,862~2~26~780~https://www.youtube.com/watch?v=3DaTsw5bN3rNk
Nastya y pap=C3=A1 A=C3=B1o Nuevo historia de un viaje familiar~1,782,161~2~26~780~https://www.youtube.com/watch?v=3DAphTGe2EAkc
Nastya y pap=C3=A1 en viaje navide=C3=B1o al parque navide=C3=B1o~8,231,035~2~26~780~https://www.youtube.com/watch?v=3DsohMNcjiZWE
Nastya y sand=C3=ADa divertido cuento de hadas para ni=C3=B1os~1,615,520~2~26~780~https://www.youtube.com/watch?v=3DsecKOCJPvp4
Nastya juega con t=C3=ADteres de sombras y juguetes brillantes~28,610,476~2~26~780~https://www.youtube.com/watch?v=3DFR7HYiULGVA
Nastya intenta atrapar a Santa Claus para Navidad. Historia de Navidad~11,186,713~2~26~780~https://www.youtube.com/watch?v=3DTCrO0bI5gRM
Nastya pretende ser la bloguera infantil m=C3=A1s popular del mundo~2,517,794~2~26~780~https://www.youtube.com/watch?v=3Dr2nuKDU1ylg
Nastya aprende las reglas de las princesas de Meggie, la historia de las princesas~3,577,341~2~26~780~https://www.youtube.com/watch?v=3DKJLVdpTKuo4
Nastya y pap=C3=A1 est=C3=A1n aprendiendo a contar hasta 10 de una manera divertida~968,087~2~26~780~https://www.youtube.com/watch?v=3D0DlnJ6n2laU
Nastya y pap=C3=A1 est=C3=A1n jugando al escondite en casa~11,886,696~2~26~780~https://www.youtube.com/watch?v=3DH-VEGpDwIFg
Nastya y pap=C3=A1 est=C3=A1n jugando con Santa Claus con juguetes navide=C3=B1os~1,889,146~2~26~780~https://www.youtube.com/watch?v=3DAF2cHz0X4LY
Nastya y una historia divertida sobre un pap=C3=A1 dormido~3,941,160~2~26~780~https://www.youtube.com/watch?v=3DyfPFMw4X_ew
Nastya y pap=C3=A1 en una misteriosa casa de dulces~4,579,984~2~26~780~https://www.youtube.com/watch?v=3DYgHOzz8SgMs
Nastya interpreta a un oficial de polic=C3=ADa y le pide a pap=C3=A1 que use una m=C3=A1scara~9,909,280~2~26~780~https://www.youtube.com/watch?v=3Di0X8k3sYhOg
Nastya y pap=C3=A1 est=C3=A1n preparando fideos de colores~1,782,631~2~26~780~https://www.youtube.com/watch?v=3D5cZ_7MDNrM0
Nastya y pap=C3=A1 se meti=C3=B3 en una misteriosa prueba~3,490,396~2~26~780~https://www.youtube.com/watch?v=3D1Go060r94xE
Nastya y pap=C3=A1 aventura a una casa misteriosa~980,416~2~26~780~https://www.youtube.com/watch?v=3DgUzCF5XF8As
Nastya y pap=C3=A1 van a un picnic en un auto nuevo~18,194,572~2~26~780~https://www.youtube.com/watch?v=3DI9IToUDdj1Y
Nastya y el misterioso desaf=C3=ADo con la ortograf=C3=ADa~5,740,730~2~26~780~https://www.youtube.com/watch?v=3DDa7T1BqRyeY
Nastya preparar pasteles para el misterioso invitado, historia de caf=C3=A9 de juguete~1,456,173~2~26~780~https://www.youtube.com/watch?v=3D-E4PaCnF2D4
Nastya y las bromas de Halloween con pap=C3=A1, divertida historia de Halloween~3,266,739~2~26~780~https://www.youtube.com/watch?v=3DMCP8mnqlWyk
Nastya y sus dibujos m=C3=A1gicos, historia divertida para los ni=C3=B1os~1,568,452~2~26~780~https://www.youtube.com/watch?v=3Djpq1W9HiKuo
Nastya usa un disfraz de Halloween y busca golosinas de Halloween~1,125,128~2~26~780~https://www.youtube.com/watch?v=3D9sL7a3X1fMM
Nastya y pap=C3=A1 est=C3=A1n compitiendo por regalos con nuevos juguetes inflables~13,412,289~2~26~780~https://www.youtube.com/watch?v=3DIuzXn8FFS20
Nastya est=C3=A1 tratando de dormir, historia antes de acostarse para los ni=C3=B1os~8,031,975~2~26~780~https://www.youtube.com/watch?v=3D4rdUoDgZWG4
Nastya aprende a cuidar de los gatitos, historia de los ni=C3=B1os~9,478,543~2~26~780~https://www.youtube.com/watch?v=3DY_55oSmZXHE
Nastya y un divertido viaje familiar, nueva serie de aventuras para ni=C3=B1os~1,501,375~2~26~780~https://www.youtube.com/watch?v=3DP1mSQ9wRkHg
Nastya abre cajas sorpresa y aprende alfabetos ingl=C3=A9s con su padre~1,646,394~2~26~780~https://www.youtube.com/watch?v=3DoCz2RQb9Bx0
Nastya finge ser madre de pap=C3=A1~31,788,228~2~26~780~https://www.youtube.com/watch?v=3DTtAC6mBrDeY
Nastya y Stacy muestran buenos y malos comportamientos para los ni=C3=B1os~41,580,594~2~26~780~https://www.youtube.com/watch?v=3DxM6xJIm2Ksw
Nastya y pap=C3=A1 se visten y hacen compras misteriosas para Halloween~4,940,005~2~26~780~https://www.youtube.com/watch?v=3D_gPB12hP5-U
Nastya y su papa est=C3=A1n perdidos en un misterioso laberinto de Halloween~11,786,000~2~26~780~https://www.youtube.com/watch?v=3DiUdOfNsFX2c
Nastya se convierte en un superh=C3=A9roe m=C3=A1gico para salvar a pap=C3=A1~36,246,392~2~26~780~https://www.youtube.com/watch?v=3DQa7rLBbH4YU
Nastya juega en el trampol=C3=ADn y se divierte con su abuelo~25,326,492~2~26~780~https://www.youtube.com/watch?v=3DFfdqjftvUXg
Nastya y la nueva mu=C3=B1eca m=C3=A1gica voladora, juguetes para ni=C3=B1as~1,500,837~2~26~780~https://www.youtube.com/watch?v=3Dc1ZR7PLXxwk
Nastya se visti=C3=B3 con un traje de Halloween y recoger caramelos~7,876,480~2~26~780~https://www.youtube.com/watch?v=3Dt2TcWcH-zY4
Nastya encuentra un robot de juguete que cumple los deseos~994,777~2~26~780~https://www.youtube.com/watch?v=3D-79qK1oxhbo
Nastya encontr=C3=B3 un ni=C3=B1o mu=C3=B1eco y finge ser madre~57,040,288~2~26~780~https://www.youtube.com/watch?v=3Dy-B3bHxEEy8
Nastya y pap=C3=A1 celebran el cumplea=C3=B1os de Roma al estilo de Halloween~10,818,137~2~26~780~https://www.youtube.com/watch?v=3Dot70GhEd30Y
Nastya y pap=C3=A1, la nueva historia de mascotas para ni=C3=B1os~996,122~2~26~780~https://www.youtube.com/watch?v=3DGD-ZiX2oo4c
Nastya encontr=C3=B3 una mu=C3=B1eca y finge ser madre~69,030,045~2~26~780~https://www.youtube.com/watch?v=3D2x983oAFzWk
Nastya creci=C3=B3 y fue de compras con su pap=C3=A1 para elegir vestidosnuevos~2,679,790~2~26~780~https://www.youtube.com/watch?v=3DM4SzNBH3Ryc
Nastya se convierten en un ni=C3=B1o y fingen jugar con varita m=C3=A1gica~1,530,305~2~26~780~https://www.youtube.com/watch?v=3DmFw-KwsM-JI
Nastya y su amigo juegan juegos al aire libre con nuevos juguetes~1,079,288~2~26~780~https://www.youtube.com/watch?v=3DkA2Q24tdGkw
Nastya decora el auto con colores brillantes y visita el zool=C3=B3gico~4,703,637~2~26~780~https://www.youtube.com/watch?v=3DkRil-P_3Fpg
Nastya perdi=C3=B3 a su perro mascota, historia de mascotas parani=C3=B1os~46,210,178~2~26~780~https://www.youtube.com/watch?v=3DpBMT1bc2cJM
Nastya est=C3=A1 buscando una nueva casa de juegos para ni=C3=B1os~6,583,154~2~26~780~https://www.youtube.com/watch?v=3Da-nS-PE4P7E
Nastya finge ser chef y cocinar comida extra=C3=B1a para su padre~1,718,068~2~26~780~https://www.youtube.com/watch?v=3DTLuJAh8PQy8
Nastya tuvo un extra=C3=B1o sue=C3=B1o sobre su cabello te=C3=B1ido~3,519,821~2~26~780~https://www.youtube.com/watch?v=3DeETcl9disQA
Nastya y amigos dulce desaf=C3=ADo en la escuela para los ni=C3=B1os~86,664,892~2~26~780~https://www.youtube.com/watch?v=3D9FFYzc8kKcU
Nastya y la historia sobre helado y limonada~28,651,186~2~26~780~https://www.youtube.com/watch?v=3DTE3bGQVFBgU
Nastya y pap=C3=A1 fingen jugar con coloridos huevos sorpresa~2,800,974~2~26~780~https://www.youtube.com/watch?v=3DUn35_c7pRNc
Nastya le hace una nueva habitaci=C3=B3n a su pap=C3=A1 al estilo de un ni=C3=B1o~5,588,274~2~26~780~https://www.youtube.com/watch?v=3DwMhTungx5Lo
Nastya y pap=C3=A1 juegan con juguetes inflables gigantes~41,588,450~3~38~1145~https://www.youtube.com/watch?v=3DvvFpPoYY3Es
Nastya juega con rompecabezas y se burla de pap=C3=A1~13,098,852~3~38~1145~https://www.youtube.com/watch?v=3DTWMMek_cubg
Nastya y el tel=C3=A9fono m=C3=A1gico, juegos de magia para ni=C3=B1os~3,617,080~3~38~1145~https://www.youtube.com/watch?v=3DmfmAy9X08i8
Nastya convierte la comida poco saludable en gelatina con una varita m=C3=A1gica~18,514,438~3~38~1145~https://www.youtube.com/watch?v=3DOsQH7VoLFPs
Nastya encuentra un tesoro en el mar, historia de b=C3=BAsqueda del tesoro~21,210,487~3~38~1145~https://www.youtube.com/watch?v=3DEjKYmapPspY
Nastya y pap=C3=A1 se deshacen de la lava del suelo~14,179,121~3~38~1145~https://www.youtube.com/watch?v=3D4FHvCBrZGZA
Nastya y la historia de un monstruo debajo de la cama~12,520,894~3~38~1145~https://www.youtube.com/watch?v=3DHXC9N1aWpx4
Nastya quiere subirse a un nuevo trampol=C3=ADn~3,914,379~3~38~1145~https://www.youtube.com/watch?v=3DsHPhLU2x8cs
Nastya convierte peque=C3=B1os juguetes inflables en juguetes gigantes~93,380,270~3~38~1145~https://www.youtube.com/watch?v=3D4Er8ritaF_Y
Nastya va a una fiesta con sus amigas en el auto de Barbie~3,433,567~3~38~1145~https://www.youtube.com/watch?v=3DkHYGedIDtFs
Nastya quiere ir al cine con su pap=C3=A1~11,348,889~3~38~1145~https://www.youtube.com/watch?v=3DWlXVS1MZIRU
Nastya finge jugar con ropa, joyas y juguetes de maquillaje~2,968,175~3~38~1145~https://www.youtube.com/watch?v=3D_h19nqPZx_w
Nastya cose hermosas m=C3=A1scaras para amigos, por qu=C3=A9 es importante usar una m=C3=A1scara?~41,608,011~3~38~1145~https://www.youtube.com/watch?v=3DQHsPOu6led8
Nastya y las historias de la infancia, c=C3=B3mo luchar contra el virus~8,388,159~3~38~1145~https://www.youtube.com/watch?v=3D_vADhRLaN8k
Nastya ayuda a las mu=C3=B1ecas a encontrar un hogar para sus juguetes~8,875,770~3~38~1145~https://www.youtube.com/watch?v=3DrcKsjl0DAkE
Nastya y su aventura con juguetes vivos en el mar~9,660,167~3~38~1145~https://www.youtube.com/watch?v=3Di38nUkAAhPs
Nastya y pap=C3=A1 divertida aventura en la playa con juguetes de arena~6,479,575~3~38~1145~https://www.youtube.com/watch?v=3Dn0fR4KfR0nY
Nastya compr=C3=B3 una mu=C3=B1eca nueva en una jugueter=C3=ADa~1,040,226~3~38~1145~https://www.youtube.com/watch?v=3D-g1f0VSAGNc
Nastya y el cuento antes de dormir sobre pap=C3=A1 son=C3=A1mbulo~5,666,803~3~38~1145~https://www.youtube.com/watch?v=3DBXkAtH8xK2M
Nastya y pap=C3=A1 vienen con nuevos juegos de diversi=C3=B3n yentretenimiento~7,076,840~3~38~1145~https://www.youtube.com/watch?v=3DPZ4nuFP8Y0M
Nastya se disfraza para una fiesta disco para ni=C3=B1os~46,836,644~3~38~1145~https://www.youtube.com/watch?v=3DUXOC-fTGEvE
Nastya y pap=C3=A1 van al mar en vacaciones de verano~7,833,770~3~38~1145~https://www.youtube.com/watch?v=3DAmfTTNApjUs
Nastya aprende a contar hasta 10 y alfabetos en ingl=C3=A9s~25,293,003~3~38~1145~https://www.youtube.com/watch?v=3DXsnk1ObJkcE
Nastya aprende a hacer una broma con pap=C3=A1, una nueva historiapara ni=C3=B1os~20,308,234~3~38~1145~https://www.youtube.com/watch?v=3DHADkdRGGYpc
Nastya y pap=C3=A1 bromean con dulces y chocolates~5,468,696~3~38~1145~https://www.youtube.com/watch?v=3Dix6XdyL9KCY
Nastya y su amiga ayudan a pap=C3=A1 a limpiar la casa~6,838,524~3~38~1145~https://www.youtube.com/watch?v=3DRS-Lmz74Mhk
Nastya y pap=C3=A1 desaf=C3=ADo misterioso en casa, desaf=C3=ADos divertidospara ni=C3=B1os~166,768,320~3~38~1145~https://www.youtube.com/watch?v=3DVMlMzZMMSvc
Nastya perdi=C3=B3 su diente y recibi=C3=B3 regalos del hada de los dientes~1,365,745~3~38~1145~https://www.youtube.com/watch?v=3DiXNmrNQwYv8
Nastya y pap=C3=A1 hacen una enorme baba multicolor~745,727~3~38~1145~https://www.youtube.com/watch?v=3DakphWpLTbdc
Nastya y sus errores en el comportamiento, reglas de conductapara los ni=C3=B1os~18,073,205~3~38~1145~https://www.youtube.com/watch?v=3D-lwxzuB5aUE
Nastya finge jugar en un sal=C3=B3n de belleza con su pap=C3=A1~2,334,130~3~38~1145~https://www.youtube.com/watch?v=3DZ1ybVzZZsEQ
Nastya y pap=C3=A1 preparan deliciosas paletas heladas en casa~54,694,943~3~38~1145~https://www.youtube.com/watch?v=3DZIAiTRzw3WQ
Nastya y espejos m=C3=A1gicos cambiando caras, historia divertidapara ni=C3=B1os~2,928,211~3~38~1145~https://www.youtube.com/watch?v=3D1AogGKypl20
Nastya y pap=C3=A1 nueva historia de c=C3=B3mo mantenerse alejado de g=C3=A9rmenes y virus~1,172,353~3~38~1145~https://www.youtube.com/watch?v=3DeIlDK72xVvQ
Nastya y Margarita, princesas historia de nuevos juguetes y ropa~913,834~3~38~1145~https://www.youtube.com/watch?v=3DhtHCRFK83Jw
Nastya y pap=C3=A1 se van de viaje al bosque, divertida serie de aventuras~4,392,608~3~38~1145~https://www.youtube.com/watch?v=3DIv_Vb4HCYUA
Nastya y Stacy est=C3=A1n preparando postres para pap=C3=A1~7,595,529~3~38~1145~https://www.youtube.com/watch?v=3D7-xnfBpa-L8
Nastya juega con juguetes y evita que pap=C3=A1 duerma~890,408~3~38~1145~https://www.youtube.com/watch?v=3DZn5YuaMxJJU
Nastya finge estar enferma, una historia moral para ni=C3=B1os~3,802,841~3~38~1145~https://www.youtube.com/watch?v=3DV6hzgQItTKY
Nastya se viste con un disfraz de superh=C3=A9roe y rescata a pap=C3=A1~2,765,891~3~38~1145~https://www.youtube.com/watch?v=3DBhgBFZBPwpg
Nastya se convierte en un gato, nuevas historias de gatos para ni=C3=B1os~8,302,230~3~38~1145~https://www.youtube.com/watch?v=3D2iv9leOg4O4
Nastya y pap=C3=A1 tuvieron una divertida competencia en casa~1,229,780~3~38~1145~https://www.youtube.com/watch?v=3DNTv_fgpXsTo
Nastya y sus amigas aventura de invierno y jugar con el mu=C3=B1eco de nieve~35,124,752~3~38~1145~https://www.youtube.com/watch?v=3Dh2cCZCFVL_Y
Nastya y pap=C3=A1 intentan hacerse amigos de un vecino misterioso~2,318,141~3~38~1145~https://www.youtube.com/watch?v=3D0iSpUwzsm1c
Nastya pretenden jugar a la polic=C3=ADa, Historias divertidas parani=C3=B1os~28,164,074~3~38~1145~https://www.youtube.com/watch?v=3D2EKUGrzWAFY
Nastya y pap=C3=A1 se divierten competiciones, juegos al aire librepara ni=C3=B1os~69,383,909~3~38~1145~https://www.youtube.com/watch?v=3DiZx93SfM9JM
Nastya y su nueva habitaci=C3=B3n al estilo de la princesa Elsa~125,989,649~3~38~1145~https://www.youtube.com/watch?v=3D6j0pncv7GI4
Nastya y sus amigos tuvieron una nueva competencia divertida para ni=C3=B1os~4,629,112~3~38~1145~https://www.youtube.com/watch?v=3D1bPp_hmxRdc
Nastya y sus amigas tienen una fiesta divertida~117,275,236~3~38~1145~https://www.youtube.com/watch?v=3DafmwrLv-E8A
Nastya y pap=C3=A1 compraron un auto nuevo~5,329,022~3~38~1145~https://www.youtube.com/watch?v=3D_6XQTYqti2E
Nastya participa en un concurso de baile~61,673,179~3~38~1145~https://www.youtube.com/watch?v=3Dne8g8h9lxP4
Nastya finge jugar lavado de autos con juguetes de limpieza~732,021~3~38~1145~https://www.youtube.com/watch?v=3Daq1i4OnejS8
Nastya y amigos juegan juegos divertidos en casa~24,487,956~3~38~1145~https://www.youtube.com/watch?v=3DbYshOSLQRAI
Nastya finge jugar en la cl=C3=ADnica de animales~21,115,147~3~38~1145~https://www.youtube.com/watch?v=3DQVZEqkd-X9Q
Nastya y su d=C3=ADa habitual con gatitos~2,325,538~3~38~1145~https://www.youtube.com/watch?v=3D48MZK6OB2Yw
Nastya y sus amigos se divierten en la ciudad de slime, una nueva serie para ni=C3=B1os~36,823,377~3~38~1145~https://www.youtube.com/watch?v=3DmqobzjRA9iQ
Nastya muestra c=C3=B3mo no enfermarse, Children's Story sobre c=C3=B3mo se propagan los virus~47,642,363~3~38~1145~https://www.youtube.com/watch?v=3DIna40POicBA
Nastya pretenden jugar a la polic=C3=ADa y ayuda a todos~43,096,356~3~38~1145~https://www.youtube.com/watch?v=3D4l0CxeIjLoc
Nastya y pap=C3=A1 hacen vestidos nuevos para fiesta de princesas~233,702,297~3~38~1145~https://www.youtube.com/watch?v=3DUCvTs7mUo84
Nastya y sus d=C3=ADas de cuarentena con pap=C3=A1~29,440,488~3~38~1145~https://www.youtube.com/watch?v=3DzHR6Hhcb0NA
Nastya le pide a su pap=C3=A1 nuevos vestidos y juguetes de maquillaje~2,691,482~3~38~1145~https://www.youtube.com/watch?v=3Dx58lsIe11jI
Nastya y pap=C3=A1 ir=C3=A1n a ver su pel=C3=ADcula favorita Jungle Beat~2,234,575~3~38~1145~https://www.youtube.com/watch?v=3Dzxv2S8R9B_E
Nastya y pap=C3=A1 Juegan al Alumno y Profesor, aprendiendo historias para ni=C3=B1os~175,088,486~3~38~1145~https://www.youtube.com/watch?v=3D7_sQEuxRkyQ
Nastya conoce a una extra=C3=B1a ni=C3=B1era, historias divertidas para ni=C3=B1os~57,655,648~3~38~1145~https://www.youtube.com/watch?v=3Dl-OTzyWy-C0
Nastya juega con fotos m=C3=A1gicas, historias divertidas de juguetes m=C3=A1gicos~142,415,705~3~38~1145~https://www.youtube.com/watch?v=3DE_JwpT1sI1c
Nastya y pap=C3=A1 juegan juegos divertidos para no aburrirse en casa~113,488,940~3~38~1145~https://www.youtube.com/watch?v=3Dv-kIRdJGEII
Nastya tiene dos gatitos, cuentos sobre c=C3=B3mo cuidar gatitos beb=C3=A9~39,985,882~3~38~1145~https://www.youtube.com/watch?v=3DXdaDWVGFMy8
Nastya aprende a nadar en la piscina, cuentos infantiles~132,969,437~3~38~1145~https://www.youtube.com/watch?v=3D3ncptqXDfyg
Nastya y Stacy maquillaje juguetes historias para ni=C3=B1os~152,016,314~3~38~1145~https://www.youtube.com/watch?v=3Dr9Vv7mQtT-Y
Stacy y pap=C3=A1 divertidas series de viajes de aventura para ni=C3=B1os~123,576,068~3~38~1145~https://www.youtube.com/watch?v=3DRadd_fyMR9s
Nastya y pap=C3=A1 historias divertidas sobre las nuevas habitacionesde princesas~101,280,784~3~38~1145~https://www.youtube.com/watch?v=3DdML0U9A3Rf4
Stacy y pap=C3=A1 fingen jugar en un restaurante y tienda de ni=C3=B1os~39,800,505~3~38~1145~https://www.youtube.com/watch?v=3DZgqwu-bzPWw
Nastya y cuentos infantiles sobre gatos~218,391,673~3~38~1145~https://www.youtube.com/watch?v=3Dy43pX9P9FBc
Nastya hace buenas acciones y pap=C3=A1 la recompensa con dulces~44,733,881~3~38~1145~https://www.youtube.com/watch?v=3D9bDNSK_xk0E
Nastya y Stacy intercambian dulces por juguetes nueva seriedivertida para ni=C3=B1os~239,255,687~3~38~1145~https://www.youtube.com/watch?v=3D3q_KsX7E464
Nastya enga=C3=B1a a su padre historia moral para los ni=C3=B1os~63,047,866~3~38~1145~https://www.youtube.com/watch?v=3DpOxDEhcpJKM
Nastya y Stacy tuvieron una nueva competencia divertida para ni=C3=B1os~157,930,317~3~38~1145~https://www.youtube.com/watch?v=3D0nQWvYcuw9Y
Nastya y pap=C3=A1 celebran sus cumplea=C3=B1os con estilo~29,404,323~3~38~1145~https://www.youtube.com/watch?v=3Dwq9jAY33iAk
Nastya juega diferentes profesiones mejores historias para quelos ni=C3=B1os aprendan profesiones~334,260,547~3~38~1145~https://www.youtube.com/watch?v=3DpK1n2HGkrug
Nastya y pap=C3=A1 limpian la casa y fingen jugar con gusanosinform=C3=A1ticos~18,947,905~3~38~1145~https://www.youtube.com/watch?v=3D3p2YCqwiNIw
Nastya y pap=C3=A1 fingen jugar con la m=C3=A1quina de dulces~9,811,320~3~38~1145~https://www.youtube.com/watch?v=3DLXWBa6ODGPc
Nastya y sus amigos se convierten en superh=C3=A9roes~560,625,536~3~38~1145~https://www.youtube.com/watch?v=3DIC25DUOSIpw
Nastya y pap=C3=A1 Colecci=C3=B3n de nuevas historias para ni=C3=B1os~103,269,520~3~38~1145~https://www.youtube.com/watch?v=3DehWRESFW5tM
Nastya celebra 50 millones de suscriptores en el canal Like Nastya~50,420,172~3~38~1145~https://www.youtube.com/watch?v=3DSbBbGjXis28
Nastya y su pap=C3=A1 vanse de las vacaciones de invierno~2,469,023~3~38~1145~https://www.youtube.com/watch?v=3DGiyv4Gpjv8c
Nastya y papa, historia sobre la malvada bruja~771,838~3~38~1145~https://www.youtube.com/watch?v=3DJ7Sls3ziRv0
Nastya y su pap=C3=A1 est=C3=A1n jugando con lego + Nastya y su pap=C3=A1 est=C3=A1n emprenden a viajar~26,733,580~3~38~1145~https://www.youtube.com/watch?v=3D-ZWajg83brE
Nastya y pap=C3=A1 la historia de lo importante que es lavarse las manos~1,827,786~3~38~1145~https://www.youtube.com/watch?v=3DXIwPtq0WEYE
Nastya y su nueva dormitorio con un unicornio~10,013,029~3~38~1145~https://www.youtube.com/watch?v=3D2_3gcPE1wZE
Nastya prepara comida saludable para pap=C3=A1~89,895,413~3~38~1145~https://www.youtube.com/watch?v=3DT_NJM27TAK4
Nastya pide un deseo que su pap=C3=A1 desaparece~10,418,023~3~38~1145~https://www.youtube.com/watch?v=3DumxDQEbYH8A
Nastya y su nueva casa de juguete con muchos peculiaridades~2,187,393~3~38~1145~https://www.youtube.com/watch?v=3DfJSxbUIRAyQ
Nastya y su fiesta de cumplea=C3=B1os de 6 a=C3=B1os~787,401~3~38~1145~https://www.youtube.com/watch?v=3DAwWl-Gbi-Xw
Nastya y pap=C3=A1 muestran trucos para ni=C3=B1os~21,859,225~3~38~1145~https://www.youtube.com/watch?v=3DZpuTHwNoav0
Nastya est=C3=A1 jugando con su nueva casa de juguete y trampol=C3=ADn~466,063~3~38~1145~https://www.youtube.com/watch?v=3DJw54Q18eKxw
Nastya y sus nuevas mu=C3=B1ecas~32,525,018~3~38~1145~https://www.youtube.com/watch?v=3DpFv-pbJ_2ks
Nastya est=C3=A1 haciendo casas para animales diff=C3=A9rentes~3,252,675~3~38~1145~https://www.youtube.com/watch?v=3DeHjdPhWEz0Q
Nastya est=C3=A1 haciendo buenas obras para que su pap=C3=A1 le da dulces~6,865,545~3~38~1145~https://www.youtube.com/watch?v=3DBVt-J4NRBf4
Nastya y pap=C3=A1 jugando a challenge de verduras reales vs verduras chocolates~108,810,915~3~38~1145~https://www.youtube.com/watch?v=3D3tCJzrOMMTU
Nastya cambiando su vestidos divertidos~28,069,230~3~38~1145~https://www.youtube.com/watch?v=3D5MKfok7RSPY
Historia de amistad de Nastya y un lobo~6,769,519~3~38~1145~https://www.youtube.com/watch?v=3DXt7uLY7SZ40
Nastya como madre y sus amados beb=C3=A9s~1,009,383~3~38~1145~https://www.youtube.com/watch?v=3DvPNNYjFPvxM
Nastya y su amigos teniendo divertidas actividades al aire libre~66,326,189~3~38~1145~https://www.youtube.com/watch?v=3D63eD9KrCB6I
